*** Создаем сервис ***
### conv2_relu ###
*** Готово! ***
*** Начинаем обучение ***
### end ###
*** Создаем сервис ***
### conv3_relu ###
*** Готово! ***
*** Начинаем обучение сети ***
{u'f1': 0.6091370544661977, u'train_loss': 0.6982240676879883, u'mcll': 0.6950480458501701, u'recall': 0.6315789456325023, u'iteration': 13.0, u'precision': 0.588235293065744, u'accp': 0.36363636363636365}
{u'f1': 0.6091370544661977, u'train_loss': 0.6516425609588623, u'mcll': 0.6950480458501701, u'recall': 0.6315789456325023, u'iteration': 28.0, u'precision': 0.588235293065744, u'accp': 0.36363636363636365}
{u'f1': 0.6091370544661977, u'train_loss': 0.6696664690971375, u'mcll': 0.6950480458501701, u'recall': 0.6315789456325023, u'iteration': 43.0, u'precision': 0.588235293065744, u'accp': 0.36363636363636365}
{u'f1': 0.6091370544661977, u'train_loss': 0.7281209826469421, u'mcll': 0.6950480458501701, u'recall': 0.6315789456325023, u'iteration': 58.0, u'precision': 0.588235293065744, u'accp': 0.36363636363636365}
{u'f1': 0.6091370544661977, u'train_loss': 0.7240912914276123, u'mcll': 0.6950480458501701, u'recall': 0.6315789456325023, u'iteration': 74.0, u'precision': 0.588235293065744, u'accp': 0.36363636363636365}
{u'f1': 0.6091370544661977, u'train_loss': 0.6882827281951904, u'mcll': 0.6950480458501701, u'recall': 0.6315789456325023, u'iteration': 89.0, u'precision': 0.588235293065744, u'accp': 0.36363636363636365}
{u'f1': 0.6091370544661977, u'train_loss': 0.6568366289138794, u'mcll': 0.6950480458501701, u'recall': 0.6315789456325023, u'iteration': 103.0, u'precision': 0.588235293065744, u'accp': 0.36363636363636365}
{u'f1': 0.6091370544661977, u'train_loss': 0.723541259765625, u'mcll': 0.6950480458501701, u'recall': 0.6315789456325023, u'iteration': 118.0, u'precision': 0.588235293065744, u'accp': 0.36363636363636365}
{u'f1': 0.6091370544661977, u'train_loss': 0.6400728821754456, u'mcll': 0.6950480458501701, u'recall': 0.6315789456325023, u'iteration': 133.0, u'precision': 0.588235293065744, u'accp': 0.36363636363636365}
{u'f1': 0.6091370544661977, u'train_loss': 0.5858970880508423, u'mcll': 0.6950480458501701, u'recall': 0.6315789456325023, u'iteration': 148.0, u'precision': 0.588235293065744, u'accp': 0.36363636363636365}
{u'f1': 0.6091370544661977, u'train_loss': 0.6374548673629761, u'mcll': 0.6950480458501701, u'recall': 0.6315789456325023, u'iteration': 163.0, u'precision': 0.588235293065744, u'accp': 0.36363636363636365}
{u'f1': 0.6091370544661977, u'train_loss': 0.6127998232841492, u'mcll': 0.6950480458501701, u'recall': 0.6315789456325023, u'iteration': 179.0, u'precision': 0.588235293065744, u'accp': 0.36363636363636365}
{u'f1': 0.6091370544661977, u'train_loss': 0.4954599142074585, u'mcll': 0.6950480458501701, u'recall': 0.6315789456325023, u'iteration': 194.0, u'precision': 0.588235293065744, u'accp': 0.36363636363636365}
{u'f1': 0.6091370544661977, u'train_loss': 0.7696268558502197, u'mcll': 0.6950480458501701, u'recall': 0.6315789456325023, u'iteration': 209.0, u'precision': 0.588235293065744, u'accp': 0.36363636363636365}
{u'f1': 0.6091370544661977, u'train_loss': 0.5158658027648926, u'mcll': 0.6950480458501701, u'recall': 0.6315789456325023, u'iteration': 224.0, u'precision': 0.588235293065744, u'accp': 0.36363636363636365}
{u'f1': 0.6091370544661977, u'train_loss': 0.6951759457588196, u'mcll': 0.6950480458501701, u'recall': 0.6315789456325023, u'iteration': 239.0, u'precision': 0.588235293065744, u'accp': 0.36363636363636365}
{u'f1': 0.6091370544661977, u'train_loss': 0.34879693388938904, u'mcll': 0.6950480458501701, u'recall': 0.6315789456325023, u'iteration': 254.0, u'precision': 0.588235293065744, u'accp': 0.36363636363636365}
{u'f1': 0.6091370544661977, u'train_loss': 0.6802738308906555, u'mcll': 0.6950480458501701, u'recall': 0.6315789456325023, u'iteration': 269.0, u'precision': 0.588235293065744, u'accp': 0.36363636363636365}
{u'f1': 0.6091370544661977, u'train_loss': 0.803114652633667, u'mcll': 0.6950480458501701, u'recall': 0.6315789456325023, u'iteration': 285.0, u'precision': 0.588235293065744, u'accp': 0.36363636363636365}
{u'f1': 0.6091370544661977, u'train_loss': 0.602324366569519, u'mcll': 0.6950480458501701, u'recall': 0.6315789456325023, u'iteration': 300.0, u'precision': 0.588235293065744, u'accp': 0.36363636363636365}
{u'f1': 0.6091370544661977, u'train_loss': 0.45218953490257263, u'mcll': 0.6950480458501701, u'recall': 0.6315789456325023, u'iteration': 315.0, u'precision': 0.588235293065744, u'accp': 0.36363636363636365}
{u'f1': 0.6091370544661977, u'train_loss': 0.299935907125473, u'mcll': 0.6950480458501701, u'recall': 0.6315789456325023, u'iteration': 330.0, u'precision': 0.588235293065744, u'accp': 0.36363636363636365}
{u'f1': 0.6091370544661977, u'train_loss': 0.45773473381996155, u'mcll': 0.6950480458501701, u'recall': 0.6315789456325023, u'iteration': 345.0, u'precision': 0.588235293065744, u'accp': 0.36363636363636365}
{u'f1': 0.6091370544661977, u'train_loss': 0.42296653985977173, u'mcll': 0.6950480458501701, u'recall': 0.6315789456325023, u'iteration': 361.0, u'precision': 0.588235293065744, u'accp': 0.36363636363636365}
{u'f1': 0.6091370544661977, u'train_loss': 0.5685381293296814, u'mcll': 0.6950480458501701, u'recall': 0.6315789456325023, u'iteration': 376.0, u'precision': 0.588235293065744, u'accp': 0.36363636363636365}
{u'f1': 0.6091370544661977, u'train_loss': 0.7950106263160706, u'mcll': 0.6950480458501701, u'recall': 0.6315789456325023, u'iteration': 391.0, u'precision': 0.588235293065744, u'accp': 0.36363636363636365}
{u'f1': 0.6091370544661977, u'train_loss': 0.8096828460693359, u'mcll': 0.6950480458501701, u'recall': 0.6315789456325023, u'iteration': 406.0, u'precision': 0.588235293065744, u'accp': 0.36363636363636365}
{u'f1': 0.6091370544661977, u'train_loss': 0.5994244813919067, u'mcll': 0.6950480458501701, u'recall': 0.6315789456325023, u'iteration': 422.0, u'precision': 0.588235293065744, u'accp': 0.36363636363636365}
{u'f1': 0.6091370544661977, u'train_loss': 0.5987553000450134, u'mcll': 0.6950480458501701, u'recall': 0.6315789456325023, u'iteration': 437.0, u'precision': 0.588235293065744, u'accp': 0.36363636363636365}
{u'f1': 0.6091370544661977, u'train_loss': 0.582554280757904, u'mcll': 0.6950480458501701, u'recall': 0.6315789456325023, u'iteration': 452.0, u'precision': 0.588235293065744, u'accp': 0.36363636363636365}
{u'f1': 0.6091370544661977, u'train_loss': 0.7514784336090088, u'mcll': 0.6950480458501701, u'recall': 0.6315789456325023, u'iteration': 467.0, u'precision': 0.588235293065744, u'accp': 0.36363636363636365}
{u'f1': 0.6091370544661977, u'train_loss': 0.658749520778656, u'mcll': 0.6950480458501701, u'recall': 0.6315789456325023, u'iteration': 482.0, u'precision': 0.588235293065744, u'accp': 0.36363636363636365}
{u'f1': 0.6091370544661977, u'train_loss': 0.48326677083969116, u'mcll': 0.6950480458501701, u'recall': 0.6315789456325023, u'iteration': 497.0, u'precision': 0.588235293065744, u'accp': 0.36363636363636365}
{u'f1': 0.5128245972525676, u'train_loss': 0.556161105632782, u'mcll': 0.5434968935447494, u'recall': 0.5138888883603395, u'iteration': 510.0, u'precision': 0.5117647054401384, u'accp': 0.6818181818181818}
{u'f1': 0.5128245972525676, u'train_loss': 0.7058833241462708, u'mcll': 0.5434968935447494, u'recall': 0.5138888883603395, u'iteration': 525.0, u'precision': 0.5117647054401384, u'accp': 0.6818181818181818}
{u'f1': 0.5128245972525676, u'train_loss': 0.6578540802001953, u'mcll': 0.5434968935447494, u'recall': 0.5138888883603395, u'iteration': 540.0, u'precision': 0.5117647054401384, u'accp': 0.6818181818181818}
{u'f1': 0.5128245972525676, u'train_loss': 0.490512490272522, u'mcll': 0.5434968935447494, u'recall': 0.5138888883603395, u'iteration': 556.0, u'precision': 0.5117647054401384, u'accp': 0.6818181818181818}
{u'f1': 0.5128245972525676, u'train_loss': 0.32096168398857117, u'mcll': 0.5434968935447494, u'recall': 0.5138888883603395, u'iteration': 571.0, u'precision': 0.5117647054401384, u'accp': 0.6818181818181818}
{u'f1': 0.5128245972525676, u'train_loss': 0.8483907580375671, u'mcll': 0.5434968935447494, u'recall': 0.5138888883603395, u'iteration': 586.0, u'precision': 0.5117647054401384, u'accp': 0.6818181818181818}
{u'f1': 0.5128245972525676, u'train_loss': 0.18787074089050293, u'mcll': 0.5434968935447494, u'recall': 0.5138888883603395, u'iteration': 601.0, u'precision': 0.5117647054401384, u'accp': 0.6818181818181818}
{u'f1': 0.5128245972525676, u'train_loss': 0.33085954189300537, u'mcll': 0.5434968935447494, u'recall': 0.5138888883603395, u'iteration': 616.0, u'precision': 0.5117647054401384, u'accp': 0.6818181818181818}
{u'f1': 0.5128245972525676, u'train_loss': 0.1676418036222458, u'mcll': 0.5434968935447494, u'recall': 0.5138888883603395, u'iteration': 631.0, u'precision': 0.5117647054401384, u'accp': 0.6818181818181818}
{u'f1': 0.5128245972525676, u'train_loss': 0.6512670516967773, u'mcll': 0.5434968935447494, u'recall': 0.5138888883603395, u'iteration': 645.0, u'precision': 0.5117647054401384, u'accp': 0.6818181818181818}
{u'f1': 0.5128245972525676, u'train_loss': 0.5418568849563599, u'mcll': 0.5434968935447494, u'recall': 0.5138888883603395, u'iteration': 660.0, u'precision': 0.5117647054401384, u'accp': 0.6818181818181818}
{u'f1': 0.5128245972525676, u'train_loss': 0.4195886552333832, u'mcll': 0.5434968935447494, u'recall': 0.5138888883603395, u'iteration': 676.0, u'precision': 0.5117647054401384, u'accp': 0.6818181818181818}
{u'f1': 0.5128245972525676, u'train_loss': 0.803302526473999, u'mcll': 0.5434968935447494, u'recall': 0.5138888883603395, u'iteration': 691.0, u'precision': 0.5117647054401384, u'accp': 0.6818181818181818}
{u'f1': 0.5128245972525676, u'train_loss': 0.5064319968223572, u'mcll': 0.5434968935447494, u'recall': 0.5138888883603395, u'iteration': 706.0, u'precision': 0.5117647054401384, u'accp': 0.6818181818181818}
{u'f1': 0.5128245972525676, u'train_loss': 0.3090888559818268, u'mcll': 0.5434968935447494, u'recall': 0.5138888883603395, u'iteration': 721.0, u'precision': 0.5117647054401384, u'accp': 0.6818181818181818}
{u'f1': 0.5128245972525676, u'train_loss': 0.3108237087726593, u'mcll': 0.5434968935447494, u'recall': 0.5138888883603395, u'iteration': 736.0, u'precision': 0.5117647054401384, u'accp': 0.6818181818181818}
{u'f1': 0.5128245972525676, u'train_loss': 0.34393301606178284, u'mcll': 0.5434968935447494, u'recall': 0.5138888883603395, u'iteration': 751.0, u'precision': 0.5117647054401384, u'accp': 0.6818181818181818}
{u'f1': 0.5128245972525676, u'train_loss': 0.25476396083831787, u'mcll': 0.5434968935447494, u'recall': 0.5138888883603395, u'iteration': 766.0, u'precision': 0.5117647054401384, u'accp': 0.6818181818181818}
{u'f1': 0.5128245972525676, u'train_loss': 0.4016648232936859, u'mcll': 0.5434968935447494, u'recall': 0.5138888883603395, u'iteration': 781.0, u'precision': 0.5117647054401384, u'accp': 0.6818181818181818}
{u'f1': 0.5128245972525676, u'train_loss': 0.7863203883171082, u'mcll': 0.5434968935447494, u'recall': 0.5138888883603395, u'iteration': 797.0, u'precision': 0.5117647054401384, u'accp': 0.6818181818181818}
{u'f1': 0.5128245972525676, u'train_loss': 0.19523821771144867, u'mcll': 0.5434968935447494, u'recall': 0.5138888883603395, u'iteration': 812.0, u'precision': 0.5117647054401384, u'accp': 0.6818181818181818}
{u'f1': 0.5128245972525676, u'train_loss': 0.5108580589294434, u'mcll': 0.5434968935447494, u'recall': 0.5138888883603395, u'iteration': 827.0, u'precision': 0.5117647054401384, u'accp': 0.6818181818181818}
{u'f1': 0.5128245972525676, u'train_loss': 0.40542668104171753, u'mcll': 0.5434968935447494, u'recall': 0.5138888883603395, u'iteration': 842.0, u'precision': 0.5117647054401384, u'accp': 0.6818181818181818}
{u'f1': 0.5128245972525676, u'train_loss': 0.4654652178287506, u'mcll': 0.5434968935447494, u'recall': 0.5138888883603395, u'iteration': 858.0, u'precision': 0.5117647054401384, u'accp': 0.6818181818181818}
{u'f1': 0.5128245972525676, u'train_loss': 0.22064590454101562, u'mcll': 0.5434968935447494, u'recall': 0.5138888883603395, u'iteration': 873.0, u'precision': 0.5117647054401384, u'accp': 0.6818181818181818}
{u'f1': 0.5128245972525676, u'train_loss': 0.5602359175682068, u'mcll': 0.5434968935447494, u'recall': 0.5138888883603395, u'iteration': 888.0, u'precision': 0.5117647054401384, u'accp': 0.6818181818181818}
{u'f1': 0.5128245972525676, u'train_loss': 0.3852188289165497, u'mcll': 0.5434968935447494, u'recall': 0.5138888883603395, u'iteration': 903.0, u'precision': 0.5117647054401384, u'accp': 0.6818181818181818}
{u'f1': 0.5128245972525676, u'train_loss': 0.27453917264938354, u'mcll': 0.5434968935447494, u'recall': 0.5138888883603395, u'iteration': 919.0, u'precision': 0.5117647054401384, u'accp': 0.6818181818181818}
{u'f1': 0.5128245972525676, u'train_loss': 0.821664035320282, u'mcll': 0.5434968935447494, u'recall': 0.5138888883603395, u'iteration': 934.0, u'precision': 0.5117647054401384, u'accp': 0.6818181818181818}
{u'f1': 0.5128245972525676, u'train_loss': 0.2824963629245758, u'mcll': 0.5434968935447494, u'recall': 0.5138888883603395, u'iteration': 949.0, u'precision': 0.5117647054401384, u'accp': 0.6818181818181818}
{u'f1': 0.5128245972525676, u'train_loss': 0.1767517328262329, u'mcll': 0.5434968935447494, u'recall': 0.5138888883603395, u'iteration': 964.0, u'precision': 0.5117647054401384, u'accp': 0.6818181818181818}
{u'f1': 0.5128245972525676, u'train_loss': 0.09952175617218018, u'mcll': 0.5434968935447494, u'recall': 0.5138888883603395, u'iteration': 979.0, u'precision': 0.5117647054401384, u'accp': 0.6818181818181818}
